datetime,เกิดเหตุ,temperature_F,humidity_%,pressure_in,vehicles_lt_4_wheels,vehicles_4_wheels,vehicles_gt_4_wheels,day_of_week,is_weekend,is_holiday
2024-06-23,0,80.4375,76.49166666666666,29.66270833333333,94.0,444.0,94.0,6,1,0
2024-06-24,0,81.09083333333334,82.26958333333333,29.66416666666667,98.0,397.0,102.0,0,0,0
2024-06-25,0,82.124375,78.130625,29.633125000000003,87.0,341.0,104.0,1,0,0
2024-06-26,0,83.04520833333333,79.69104166666666,29.637916666666666,83.0,410.0,99.0,2,0,0
2024-06-27,0,83.02291666666666,80.86604166666667,29.681875,85.0,402.0,98.0,3,0,0
2024-06-28,0,81.16145833333333,84.29020833333333,29.692083333333333,80.0,393.0,103.0,4,0,0
2024-06-29,0,82.64604166666668,83.93729166666667,29.69458333333333,90.0,440.0,99.0,5,1,0
2024-06-30,0,83.06583333333333,81.07416666666667,29.73125,97.0,460.0,93.0,6,1,0
2024-07-01,0,79.598125,91.171875,29.78125,85.0,419.0,104.0,0,0,0
2024-07-02,4,81.755625,80.29541666666667,29.79479166666667,83.0,366.0,110.0,1,0,0
2024-07-03,0,83.95041666666667,74.00041666666667,29.674166666666668,77.0,340.0,100.0,2,0,0
2024-07-04,1,83.51083333333334,72.64,29.66395833333333,78.0,324.0,99.0,3,0,0
2024-07-05,0,84.65895833333333,83.29041666666667,29.703958333333333,76.0,388.0,98.0,4,0,0
2024-07-06,0,83.90145833333334,80.69125,29.706041666666668,91.0,507.0,100.0,5,1,0
2024-07-07,0,82.70645833333333,78.50729166666666,29.64375,98.0,465.0,99.0,6,1,0
2024-07-08,0,82.54958333333333,78.77854166666667,29.71291666666667,91.0,344.0,96.0,0,0,0
2024-07-09,0,78.44500000000001,88.84375,29.704375,81.0,424.0,99.0,1,0,0
2024-07-10,1,81.94479166666666,83.24,29.735208333333333,84.0,478.0,104.0,2,0,0
2024-07-11,0,80.95854166666666,84.95833333333333,29.727500000000003,95.0,452.0,102.0,3,0,0
2024-07-12,0,80.99020833333334,87.19479166666667,29.672708333333333,100.0,413.0,96.0,4,0,0
2024-07-13,0,83.03750000000001,79.979375,29.626666666666665,95.0,442.0,99.0,5,1,0
2024-07-14,0,82.04166666666667,80.725625,29.636666666666667,92.0,458.0,100.0,6,1,0
2024-07-15,0,83.52833333333334,76.84291666666667,29.627499999999998,79.0,428.0,104.0,0,0,0
2024-07-16,0,82.99875,83.090625,29.628125,73.0,361.0,102.0,1,0,0
2024-07-17,0,79.123125,91.73562500000001,29.650625,83.0,325.0,105.0,2,0,0
2024-07-18,0,84.1025,78.829375,29.64833333333333,96.0,324.0,107.0,3,0,0
2024-07-19,0,83.20458333333333,82.72208333333333,29.641458333333333,92.0,355.0,98.0,4,0,0
2024-07-20,0,84.37458333333333,78.965625,29.667708333333334,98.0,449.0,87.0,5,1,1
2024-07-21,0,83.75979166666666,80.15104166666667,29.686458333333334,98.0,499.0,82.0,6,1,1
2024-07-22,0,85.329375,79.00583333333334,29.688125,98.0,467.0,94.0,0,0,1
2024-07-23,0,84.67520833333333,78.343125,29.690208333333334,94.0,433.0,101.0,1,0,0
2024-07-24,0,84.296875,77.52916666666667,29.63270833333333,90.0,414.0,98.0,2,0,0
2024-07-25,0,85.340625,73.73645833333333,29.590625,92.0,438.0,101.0,3,0,0
2024-07-26,0,83.70645833333333,81.388125,29.620416666666667,83.0,434.0,109.0,4,0,0
2024-07-27,1,84.49625,77.34666666666666,29.651458333333334,91.0,440.0,105.0,5,1,0
2024-07-28,0,81.92291666666667,83.75937499999999,29.644375,100.0,494.0,94.0,6,1,1
2024-07-29,1,79.77104166666668,85.45666666666666,29.658125,92.0,518.0,91.0,0,0,1
2024-07-30,0,82.06875000000001,81.81020833333334,29.685208333333335,87.0,428.0,108.0,1,0,0
2024-07-31,0,82.34666666666666,83.16583333333334,29.728958333333335,88.0,351.0,110.0,2,0,0
2024-08-01,1,81.33479166666667,86.75416666666666,29.769375,91.0,339.0,93.0,3,0,0
2024-08-02,0,82.24145833333334,79.10208333333334,29.7675,87.0,399.0,89.0,4,0,0
2024-08-03,0,82.12145833333334,77.36854166666667,29.703125,81.0,428.0,94.0,5,1,0
2024-08-04,0,85.57041666666667,73.96604166666667,29.685625,81.0,427.0,97.0,6,1,0
2024-08-05,1,85.78041666666667,77.98041666666667,29.682708333333334,75.0,395.0,99.0,0,0,0
2024-08-06,1,85.38395833333334,75.92833333333333,29.683333333333334,78.0,373.0,100.0,1,0,0
2024-08-07,2,83.22291666666666,77.26833333333333,29.641041666666666,89.0,407.0,96.0,2,0,0
2024-08-08,0,83.82187499999999,77.246875,29.700625,87.0,390.0,107.0,3,0,0
2024-08-09,0,78.76729166666667,88.63645833333334,29.737291666666668,98.0,424.0,109.0,4,0,0
2024-08-10,0,80.93520833333334,84.13145833333333,29.74145833333333,102.0,516.0,105.0,5,1,0
2024-08-11,0,77.98104166666667,89.890625,29.734166666666667,84.0,495.0,96.0,6,1,0
2024-08-12,0,83.064375,79.88,29.686041666666668,85.0,483.0,97.0,0,0,1
2024-08-13,0,83.890625,76.71666666666667,29.662916666666664,90.0,369.0,104.0,1,0,0
2024-08-14,0,81.58125,85.18083333333333,29.674583333333334,88.0,328.0,104.0,2,0,0
2024-08-15,0,82.22875,83.58604166666667,29.652916666666666,90.0,405.0,106.0,3,0,0
2024-08-16,0,82.84291666666667,84.53395833333333,29.637916666666666,92.0,427.0,103.0,4,0,0
2024-08-17,0,82.06229166666667,84.03645833333333,29.673125,93.0,439.0,105.0,5,1,0
2024-08-18,0,81.26479166666667,86.2625,29.690208333333334,94.0,428.0,105.0,6,1,0
2024-08-19,0,81.62645833333333,83.393125,29.688541666666666,85.0,406.0,103.0,0,0,0
2024-08-20,0,80.47,81.24249999999999,29.719583333333333,81.0,394.0,102.0,1,0,0
2024-08-21,1,82.81750000000001,75.27041666666666,29.720416666666665,87.0,365.0,92.0,2,0,0
2024-08-22,0,82.03958333333334,83.73333333333333,29.713125,91.0,376.0,95.0,3,0,0
2024-08-23,0,78.70833333333333,90.90395833333334,29.751458333333332,92.0,416.0,106.0,4,0,0
2024-08-24,0,82.060625,79.68541666666667,29.734166666666667,98.0,511.0,101.0,5,1,0
2024-08-25,0,78.73125,87.87666666666667,29.721875,90.0,537.0,92.0,6,1,0
2024-08-26,0,80.76645833333333,83.76895833333333,29.700833333333335,83.0,477.0,97.0,0,0,0
2024-08-27,0,79.165,87.77333333333333,29.717083333333335,82.0,431.0,106.0,1,0,0
2024-08-28,0,78.96416666666667,85.708125,29.717708333333334,88.0,391.0,107.0,2,0,0
2024-08-29,1,81.53979166666666,83.82958333333333,29.700833333333335,95.0,458.0,110.0,3,0,0
2024-08-30,0,83.815625,76.40020833333334,29.694374999999997,102.0,488.0,104.0,4,0,0
2024-08-31,0,82.64604166666668,80.66625,29.704166666666666,114.0,476.0,97.0,5,1,0
2024-09-01,1,80.905625,86.909375,29.7525,100.0,408.0,100.0,6,1,0
2024-09-02,1,81.935625,78.07604166666667,29.8025,92.0,349.0,101.0,0,0,0
2024-09-03,0,80.37708333333333,85.78625,29.733541666666667,89.0,385.0,101.0,1,0,0
2024-09-04,0,86.20833333333333,74.11395833333333,29.685625,87.0,326.0,101.0,2,0,0
2024-09-05,0,86.33958333333334,78.76895833333333,29.655625,89.0,313.0,96.0,3,0,0
2024-09-06,0,84.22500000000001,73.743125,29.68541666666667,83.0,394.0,89.0,4,0,0
2024-09-07,1,82.29020833333333,81.69645833333333,29.67979166666667,94.0,512.0,98.0,5,1,0
2024-09-08,0,82.13979166666667,83.45229166666667,29.702291666666667,94.0,442.0,99.0,6,1,0
2024-09-09,0,80.041875,80.89375,29.6975,88.0,379.0,98.0,0,0,0
2024-09-10,0,79.50583333333334,88.726875,29.706458333333334,85.0,372.0,100.0,1,0,0
2024-09-11,0,77.443125,93.18770833333333,29.731041666666666,84.0,390.0,103.0,2,0,0
2024-09-12,0,78.43625,91.22604166666667,29.696458333333336,87.0,359.0,103.0,3,0,0
2024-09-13,0,79.58145833333333,84.793125,29.695416666666663,82.0,374.0,102.0,4,0,0
2024-09-14,1,79.43520833333334,87.60833333333333,29.655208333333334,91.0,459.0,92.0,5,1,0
2024-09-15,0,78.22854166666666,91.25229166666666,29.653333333333332,82.0,478.0,100.0,6,1,0
2024-09-16,0,78.57979166666667,88.97229166666666,29.643333333333334,74.0,388.0,112.0,0,0,0
2024-09-17,0,78.97937499999999,86.86958333333332,29.618958333333335,77.0,327.0,113.0,1,0,0
2024-09-18,0,78.421875,85.58437500000001,29.58791666666667,93.0,344.0,110.0,2,0,0
2024-09-19,0,80.00520833333333,84.85833333333333,29.580624999999998,98.0,386.0,109.0,3,0,0
2024-09-20,1,80.10104166666666,84.5,29.613125,89.0,405.0,102.0,4,0,0
2024-09-21,0,80.71062500000001,84.50354166666666,29.631874999999997,93.0,449.0,106.0,5,1,0
2024-09-22,0,80.39,88.16375,29.64833333333333,94.0,447.0,117.0,6,1,0
2024-09-23,0,80.97937499999999,84.16125,29.693125,94.0,428.0,106.0,0,0,0
2024-09-24,0,78.88458333333334,90.54625,29.719166666666666,92.0,369.0,105.0,1,0,0
2024-09-25,0,80.14,87.54791666666667,29.721249999999998,84.0,392.0,106.0,2,0,0
2024-09-26,1,80.01354166666667,86.17833333333334,29.712083333333336,78.0,423.0,101.0,3,0,0
2024-09-27,0,82.064375,81.22645833333333,29.69395833333333,81.0,446.0,97.0,4,0,0
2024-09-28,0,82.62104166666667,84.85458333333334,29.693541666666665,86.0,620.0,98.0,5,1,0
2024-09-29,1,83.399375,79.11208333333333,29.707083333333333,97.0,468.0,93.0,6,1,0
2024-09-30,0,82.329375,82.35270833333333,29.685000000000002,95.0,335.0,93.0,0,0,0
2024-10-01,0,81.531875,85.328125,29.733958333333334,87.0,351.0,93.0,1,0,0
2024-10-02,0,82.33708333333333,75.32291666666667,29.842708333333334,97.0,388.0,95.0,2,0,0
2024-10-03,0,82.71791666666667,77.53166666666667,29.78,108.0,369.0,96.0,3,0,0
2024-10-04,1,86.09916666666668,76.52104166666668,29.714375,91.0,418.0,99.0,4,0,0
2024-10-05,1,83.33520833333334,85.48562500000001,29.68104166666667,92.0,511.0,98.0,5,1,0
2024-10-06,0,84.38520833333332,73.17229166666667,29.714583333333334,100.0,448.0,93.0,6,1,0
2024-10-07,0,81.88395833333333,82.60145833333333,29.73125,91.0,371.0,99.0,0,0,0
2024-10-08,0,83.09291666666667,78.50875,29.681458333333335,85.0,380.0,101.0,1,0,0
2024-10-09,0,82.50770833333333,75.594375,29.679166666666664,83.0,423.0,95.0,2,0,0
2024-10-10,0,79.80833333333334,89.42791666666666,29.67979166666667,89.0,457.0,98.0,3,0,0
