datetime,เกิดเหตุ,temperature_F,humidity_%,pressure_in,less4whells,4whells,more4whells,day_of_week,is_weekend,is_holiday
2023-10-16,0,82.125,80.72916666666667,29.709375,91,414,97,0,0,0
2023-10-17,0,80.72916666666667,84.875,29.749166666666667,89,402,97,1,0,0
2023-10-18,0,82.0,81.02083333333333,29.75854166666667,85,412,93,2,0,0
2023-10-19,0,80.5625,85.77083333333333,29.76375,80,416,93,3,0,0
2023-10-20,0,81.10416666666667,85.625,29.74895833333333,81,410,90,4,0,0
2023-10-21,0,81.5625,84.47916666666667,29.765416666666667,83,412,94,5,1,0
2023-10-22,0,79.29166666666667,88.5,29.788125,85,401,90,6,1,0
2023-10-23,0,80.5625,82.20833333333333,29.779166666666665,91,418,92,0,0,1
2023-10-24,0,81.79166666666667,81.20833333333333,29.764166666666668,89,405,93,1,0,0
2023-10-25,0,80.89583333333333,85.54166666666667,29.765,85,409,96,2,0,0
2023-10-26,0,80.97916666666667,85.1875,29.75916666666667,87,414,97,3,0,0
2023-10-27,0,83.27083333333333,76.75,29.73958333333333,94,410,91,4,0,0
2023-10-28,1,81.14583333333333,85.77083333333333,29.74625,84,418,95,5,1,0
2023-10-29,0,80.83333333333333,86.0625,29.725625,80,423,95,6,1,0
2023-10-30,0,81.0,86.1875,29.70875,86,387,91,0,0,0
2023-10-31,1,81.64583333333333,87.0625,29.72,89,409,96,1,0,0
2023-11-01,0,79.3125,91.45833333333331,29.748125,84,423,93,2,0,0
2023-11-02,0,79.04166666666667,90.35416666666669,29.74375,70,430,94,3,0,0
2023-11-03,0,81.0,86.06521739130434,29.698043478260868,86,378,88,4,0,0
2023-11-04,0,80.20454545454545,88.06818181818181,29.700681818181817,81,377,85,5,1,0
2023-11-05,0,80.14583333333333,88.33333333333333,29.726875000000003,89,403,91,6,1,0
2023-11-06,0,83.04166666666667,83.20833333333333,29.726250000000004,85,405,92,0,0,0
2023-11-07,0,81.25,85.91666666666667,29.733125,84,409,91,1,0,0
2023-11-08,1,80.77083333333333,87.27083333333333,29.723125,89,401,98,2,0,0
2023-11-09,0,79.75,90.0625,29.736666666666665,81,420,90,3,0,0
2023-11-10,0,79.4375,89.4375,29.76,89,411,94,4,0,0
2023-11-11,0,79.54166666666667,89.5625,29.769583333333333,76,437,95,5,1,0
2023-11-12,0,81.35416666666667,84.04166666666667,29.74395833333333,90,406,93,6,1,0
2023-11-13,0,82.04166666666667,84.79166666666667,29.738333333333333,77,432,94,0,0,0
2023-11-14,0,80.83333333333333,87.75,29.761458333333334,88,425,94,1,0,0
2023-11-15,0,80.02083333333333,89.64583333333333,29.770625,73,431,90,2,0,0
2023-11-16,0,77.20833333333333,95.22916666666669,29.78770833333333,72,436,90,3,0,0
2023-11-17,0,78.79166666666667,92.22916666666669,29.785208333333333,78,412,94,4,0,0
2023-11-18,0,78.375,91.91666666666669,29.781875,79,418,91,5,1,0
2023-11-19,0,79.39583333333333,89.04166666666667,29.77083333333333,74,428,88,6,1,0
2023-11-20,0,79.77083333333333,88.5625,29.751875,81,417,95,0,0,0
2023-11-21,0,79.10416666666667,90.41666666666669,29.731875,80,426,89,1,0,0
2023-11-22,0,77.625,92.85416666666669,29.7125,81,413,90,2,0,0
2023-11-23,0,78.9375,90.39583333333331,29.700000000000003,82,414,90,3,0,0
2023-11-24,0,78.4375,91.14583333333331,29.71875,81,424,97,4,0,0
2023-11-25,0,77.04166666666667,93.375,29.715625000000003,72,426,95,5,1,0
2023-11-26,0,74.79166666666667,97.89583333333331,29.746666666666663,72,424,91,6,1,0
2023-11-27,0,78.70833333333333,89.02083333333333,29.720625,81,405,92,0,0,0
2023-11-28,0,79.58333333333333,89.14583333333333,29.69375,81,423,96,1,0,0
2023-11-29,0,77.27083333333333,96.79166666666669,29.699375,69,430,89,2,0,0
2023-11-30,0,78.54166666666667,93.29166666666669,29.73958333333333,79,430,89,3,0,0
2023-12-01,0,79.97916666666667,92.0,29.720625,79,410,95,4,0,0
2023-12-02,0,76.77083333333333,96.29166666666669,29.725,78,425,93,5,1,0
2023-12-03,0,79.77083333333333,90.1875,29.727500000000003,89,409,89,6,1,0
2023-12-04,0,81.5625,87.27083333333333,29.72125,89,424,91,0,0,0
2023-12-05,0,81.39583333333333,89.14583333333333,29.728125,86,416,89,1,0,1
2023-12-06,0,82.33333333333333,85.14583333333333,29.7525,90,401,101,2,0,0
2023-12-07,1,78.85416666666667,93.47916666666669,29.76354166666667,82,403,91,3,0,0
2023-12-08,0,81.5625,84.39583333333333,29.752291666666665,91,405,92,4,0,0
2023-12-09,0,82.33333333333333,81.5625,29.734791666666663,88,408,95,5,1,0
